title,publishedAt,videoId
RLCS Pros are using the Bot Kickoff Strat,2024-02-17T17:00:26Z,dJ73dALrhuI
JSTN goes from top 4 NA to losing in Quals | What does this mean for RLCS?,2024-02-12T22:30:05Z,pXeE1Op52kM
Rule One vs Falcons | RLCS MENA Grand Final,2024-02-05T22:30:01Z,Av9gsHjwDPY
The new Rule One roster ran into Dark's team in RLCS Quals,2024-01-28T22:00:12Z,ZbtAhcbdrt0
I Scored a Goal in RLCS! | real and legitimate,2024-01-27T22:00:08Z,Jisp8gaMLaY
Falcons vs a Team of 14yr olds in RLCS Quals,2024-01-26T23:30:08Z,mrq50jciivI
My thoughts on the RLCS 2024 Announcement,2024-01-15T22:00:22Z,wvxUUZg7ASo
"Team Vitality vs JSTN, Scrub Killa & AcroniK",2023-12-25T20:00:09Z,b4m0xnkWz_E
JSTN vs Alpha54 | Winner plays Zen,2023-12-24T22:00:10Z,VtL7ppNXzsU
TOURNAMENT FINAL | Salt Mine 3 NA | Wahvey vs Daniel,2023-12-23T18:00:16Z,VwUwXZ9wuPk
Diaz vs Wahvey | Preliminary Final | Salt Mine 3 NA FINALS,2023-12-22T18:00:20Z,T75dTN2qdR0
Daniel vs Firstkiller | Preliminary Final | Salt Mine 3 NA FINALS,2023-12-21T19:00:23Z,uf_jdx43rdE
TOURNAMENT FINAL | Salt Mine 3 EU | Nwpo vs Nass,2023-12-20T18:00:25Z,ppdL_cEl23Y
Zen vs Nass | Preliminary Final | Salt Mine 3 EU FINALS,2023-12-19T18:00:02Z,34_GLzFHmOM
Rw9 vs Nwpo | Preliminary Final | Salt Mine 3 EU FINALS,2023-12-18T18:00:07Z,IFlWi1H_f2s
Firstkiller vs Evoh  | Semi Final | Salt Mine 3 NA FINALS,2023-12-17T18:00:12Z,SU9MAdW0nAs
AyyJayy vs Cosmic | Quarter Final | Salt Mine 3 NA FINALS,2023-12-16T18:00:22Z,qN0y0zODFj8
Firstkiller vs Diaz | Quarter Final | Salt Mine 3 NA FINALS,2023-12-15T18:00:23Z,m7hD3OD5j5M
Mawkzy vs Zen | Semi Final | Salt Mine 3 EU FINALS,2023-12-14T18:00:21Z,S2paMncRcVc
Zen vs Dralii | Quarter Final | Salt Mine 3 EU FINALS,2023-12-13T18:00:12Z,PC8iEn8bdl8
Mawkzy vs Rw9 | Quarter Final | Salt Mine 3 EU FINALS,2023-12-13T00:00:05Z,8zuahA2rRdg
Diaz vs ApparentlyJack | Salt Mine 3 NA | Stage 3 Groups,2023-12-11T12:00:25Z,_h2YXzQAwHU
Daniel vs Wahvey | Salt Mine 3 NA | Stage 3 Groups,2023-12-11T00:00:03Z,6S1MWVQ3Y0U
Firstkiller vs Evoh | Salt Mine 3 NA | Stage 3 Groups,2023-12-10T12:00:55Z,yC5EaEQtD0c
Vatira vs Joreuz | Salt Mine 3 EU | Stage 3 Groups,2023-12-10T00:00:10Z,BUdWNKxKPOk
